Objektnummer;Kulturdenkmaltyp;Kreis;Gemeinde;Adresse-Lage;Bezeichnung;Beschreibung;Begründung;Schutzumfang;FotoURL
51295;"Sachgesamtheit";"Stadt Flensburg";"Flensburg, Stadt";"Alt-Fruerlundhof 1";"Fruerlundhof";"Fruerlundhof; 1832, 1901; Hofanlage aus Wohnhaus, einem eingeschossigen Gelbsteinbau mit Halbwalmdach, und einem großen Wirtschaftsgebäude im Rechten Winkel angeordnet, Gelbsteindrempelbau mit flachem Satteldach, Hofpflasterung und Teich";"Geschichtlich, Kulturlandschaftlich, Städtebaulich, Wissenschaftlich";"Wohnhaus mit Kopfsteinpflaster und Teich, Wirtschaftsgebäude";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/51295.jpg"
48588;"Sachgesamtheit";"Stadt Flensburg";"Flensburg, Stadt";"Am Pferdewasser 12, 14";"ehem. Knabenschule mit Turnhalle";"ehem. Knabenschule mit Turnhalle; 1895-96, 1905, wohl Baurat Otto Fielitz; urspr. als Knabenschule zu St. Nikolai errichtet; Schule dreigeschossiger Gelbsteinbau mit flachem Walmdach und historisierender Fassadengestaltung mit qualitätvollem Backsteindekor; im Hof freistehend die ebenfalls aus Gelbstein errichtete ehemalige Turnhalle mit Rundbogengliederung, Eingangsvorbau und jüngerem Erweiterungsflügel";"Geschichtlich, Künstlerisch, Städtebaulich";"ehem. Knabenschule (Am Pferdewasser 14), ehem. Turnhalle (Am Pferdewasser 12)";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/48588.jpg"
35508;"Sachgesamtheit";"Stadt Flensburg";"Flensburg, Stadt";"An der Bergmühle 5, 7";"Bergmühle";"Bergmühle; 1792 im Kern,1875; seit 1792 bestehende Windmühle 1875 zum Galerieholländer umgebaut, ein- bzw. zweigeschossiges Müllerhaus mit Halbwalmdach, im Kern um 1800, Gelbsteinspeicher mit Drempel Ende 19. Jh.";"Geschichtlich, Kulturlandschaftlich, Technisch";"Bergmühle, Kornspeicher (An der Bergmühle 7); Müllerhaus (An der Bergmühle 5)";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/35508.jpg"
35445;"Sachgesamtheit";"Stadt Flensburg";"Flensburg, Stadt";"Apenrader Straße 1";"Wohnhaus mit Hofbebauung";"Wohnhaus mit Hofbebauung; vor 1880, 1883, 1908, Bauherr M.K. Brix, Baugeschäft Bandholz u. Reeps; Gruppe aus repräsentativem Wohnhaus mit spätklassizistischer Gestaltung von 1883 mit älterem Kern und Hofgebäuden von 1908, Remise und Kutscherhaus überwiegend in Fachwerk";"Geschichtlich, Künstlerisch, Städtebaulich";"Wohnhaus, Remise, Kutscherhaus";""
35448;"Sachgesamtheit";"Stadt Flensburg";"Flensburg, Stadt";"Apenrader Straße 25";"Ansgar Kirke";"Aktualisierung vorgesehen";"Geschichtlich, Künstlerisch, Kulturlandschaftlich, Städtebaulich";"Ansgar Kirke mit Ausstattung, Gemeindehaus, Pastorat, Außenanlagen";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/35448.jpg"
26747;"Sachgesamtheit";"Stadt Flensburg";"Flensburg, Stadt";"Augustastraße 7, 9, Augustastraße u.a., Johannisstraße 43";"ehem. Metallwarenfabrik Hansen & Goos";"ehem. Metallwarenfabrik Hansen & Goos; 2. H. 19. Jh.; Wohn- und Werksgebäude der 1839 gegründeten Metallwarenfabrik und Kupferschmiede, giebelständiger geschlämmter Backsteinbau Nr. 7 ehem. Produktionsgebäude, heute Wohnhaus, traufständig zur Straße das dreigeschossige Wohn- und Geschäftshaus Nr. 9, rückwärtig gepflasterter kleiner Hof mit Wohngebäuden nach Norden (1883) und zur Johannisstraße, letzteres im Kern aus dem 18. Jh., um 1900 als Werkstattgebäude der Fabrik umgenutzt";"Geschichtlich, Städtebaulich";"ehem. Metallwarenfabrik (Augustastraße 7); Wohn- und Geschäftshaus (Augustastraße 9); ehem. Wohnhaus, Hinterhaus (Johannisstraße 43); Hofpflaster (Augustastraße, Johannisstraße)";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/26747.jpg"
46602;"Sachgesamtheit";"Stadt Flensburg";"Flensburg, Stadt";"Angelburger Straße, Bahnhofstraße, Hafendamm, Heinrichstraße, Süderhofenden";"Bahnbrücken, Hafenbahn Flensburg";"Bahnbrücken, Hafenbahn Flensburg; 1929; vier auf Anlage der Hafenbahn um 1852-54 zurückgehende Brücken, Lage an Heinrichstraße, Bahnhofstraße, Angelburger Straße und Hafendamm (Doppelbrücke), genietete Eisenkonstruktionen mit Widerlagern in Stahlbeton, an der Angelburger Straße in gelbem und rötlichem Backstein mit expressionistischen Details und verlängerter Stützmauer";"Geschichtlich, Künstlerisch, Städtebaulich, Technisch";"Eisenbahnbrücken (Angelburger Straße, Bahnhofstraße, Heinrichstraße); Eisenbahn-Doppelbrücke (Hafendamm); Backsteinmauer (Süderhofenden)";""
1825;"Sachgesamtheit";"Stadt Flensburg";"Flensburg, Stadt";"Burghof 1, 2, 3, 4, 5, 6, Burghof, Marienstraße 22, Toosbüystraße 11";"Burghof";"Burghof; 1909-10, Architekt Paul Ziegler; Innenblockbebauung im Heimatschutzstil zwischen zwei Vorderhäusern zur Toosbüy- und zur Marienstraße, vier- und fünfgeschossige Backsteinbauten mit Erkern und geschweiften Zwerchgiebeln in unregelmäßiger Anordnung um einen langgestreckten Innenhof mit Brunnen";"Geschichtlich, Künstlerisch, Städtebaulich";"Mietwohnungshäuser (Burghof 1, 2, 3, 4, 5, 6; Toosbüystraße 11); Brunnen, Pflasterung (Burghof); Wohnhaus, Pflasterung (Marienstraße 22)";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/1825.jpg"
20550;"Sachgesamtheit";"Stadt Flensburg";"Flensburg, Stadt";"Eckernförder Landstraße 200";"Martinstift Flensburg";"Martinstift Flensburg; auf 1847 zurückgehend, Bauten 1899-1905, Zimmermeister Andreas Fabian; dreiseitige Hofanlage mit Haupthaus von 1905, östlich der Zufahrt ehem. Jungenhaus von 1899 und westlich ehem. Schul- und Arbeitshaus von 1904";"Geschichtlich, Künstlerisch, Städtebaulich";"Haupthaus Martinstift Flensburg, ehem. Jungenhaus, ehem. Schul- und Arbeitshaus";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/20550.jpg"
51195;"Sachgesamtheit";"Stadt Flensburg";"Flensburg, Stadt";"Engelsby (Dorf) 7";"Hofstelle Engelsby 7";"Hofstelle; Anfang 19. Jh., 1908; dreiseitiges Gehöft aus Wohnhaus, Stall und Wirtschaftsgebäude, Umbau im Innern des Haupthauses und Neubau des Wirtschaftsgebäudes an Stelle eines Vorgängers um 1908";"Geschichtlich, Kulturlandschaftlich, Städtebaulich";"Haupthaus mit Hof- und Gartenfläche, Stallgebäude, Scheune";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/51195.jpg"
